 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
David Williams,124,,JAX,RB,24,6,0,0,0,0,0,0,8,36,0,0,0,0,0,4,3.6,3.6
Dwayne Allen,107,,NWE,TE,28,13,8,0,0,0,0,0,0,0,0,4,3,27,0,3,5.7,4.2
Benny Cunningham,129,,CHI,RB,28,15,0,0,0,0,0,0,11,20,0,2,1,9,0,3,3.9,3.4
Mike Gillislee,127,,NOR,RB,28,4,0,0,0,0,0,0,16,43,0,1,1,9,0,3,5.2,3.7
Jeremy Hill,128,,NWE,RB,26,1,0,0,0,0,0,0,4,25,0,1,1,6,0,3,4.1,3.6
Jeremy Langford,130,,ATL,RB,27,1,0,0,0,0,0,0,9,25,0,0,0,0,0,3,2.5,2.5
Brian Parker,106,,DEN,TE,26,13,1,0,0,0,0,0,0,0,0,10,5,33,0,3,8.3,5.8
Charone Peake,180,,NYJ,WR,26,13,0,0,0,0,0,0,0,0,0,3,2,25,0,3,4.5,3.5
Shaun Wilson,126,,TAM,RB,23,5,0,0,0,0,0,0,6,29,0,5,3,5,0,3,6.4,4.9
Javon Wims,179,,CHI,WR,24,4,0,0,0,0,0,0,0,0,0,5,4,32,0,3,7.2,5.2
Nick Bellore,140,,DET,RB,29,14,4,0,0,0,0,0,1,0,0,4,4,15,0,2,5.5,3.5
Travaris Cadet,132,,CAR,RB,29,1,0,0,0,0,0,0,11,17,0,1,1,5,0,2,3.2,2.7
Matt Cassel,58,,DET,QB,36,2,0,7,17,59,0,1,2,13,0,0,0,0,0,2,2.7,2.7
Orson Charles,110,,CLE,TE,27,13,2,0,0,0,0,0,0,0,0,5,3,23,0,2,5.3,3.8
Derrick Coleman,134,,ARI,RB,28,16,4,0,0,0,0,0,2,3,0,3,2,17,0,2,4.0,3.0
River Cracraft,181,,DEN,WR,24,8,0,0,0,0,0,0,0,0,0,2,1,44,0,2,4.4,2.9
Sean Culkin,108,,LAC,TE,25,13,10,0,0,0,0,0,0,0,0,1,1,24,0,2,3.4,2.9
Justin Davis,136,,LAR,RB,23,11,0,0,0,0,0,0,2,19,0,0,0,0,0,2,1.9,1.9
Gehrig Dieter,184,,KAN,WR,25,4,0,0,0,0,0,0,0,0,0,3,1,22,0,2,3.2,2.7
David Fluellen,138,,TEN,RB,26,7,0,0,0,0,0,0,4,16,0,0,0,0,0,2,1.6,1.6
Garrett Gilbert,59,,CAR,QB,27,1,0,2,3,40,0,0,0,0,0,0,0,0,0,2,1.6,1.6
KhaDarel Hodge,191,,LAR,WR,23,14,0,0,0,0,0,0,0,0,0,3,2,17,0,2,3.7,2.7
Justin Hunter,185,,PIT,WR,27,5,0,0,0,0,0,0,0,0,0,13,3,21,0,2,5.1,3.6
Darius Jackson,139,,2TM,RB,25,4,0,0,0,0,0,0,6,16,0,1,0,0,0,2,1.6,1.6
Rishard Matthews,182,,2TM,WR,29,8,0,0,0,0,0,0,0,0,0,9,5,24,0,2,7.4,4.9
Ray-Ray McCloud,186,,BUF,WR,22,10,1,0,0,0,0,0,2,4,0,6,5,36,0,2,8.0,4.5
C.J. Prosise,135,,SEA,RB,24,5,0,0,0,0,0,0,1,-3,0,3,3,22,0,2,4.9,3.4
Brian Quick,188,,WAS,WR,29,6,3,0,0,0,0,0,0,0,0,3,3,18,0,2,4.8,3.3
Keith Smith,131,,OAK,RB,26,16,3,0,0,0,0,0,1,0,0,6,5,23,0,2,7.3,4.8
Jonathan Stewart,137,,NYG,RB,31,3,0,0,0,0,0,0,6,17,0,0,0,0,0,2,1.7,1.7
Tyrone Swoopes,109,,SEA,TE,24,1,1,0,0,0,0,0,0,0,0,1,1,23,0,2,3.3,2.8
De'Lance Turner,133,,BAL,RB,23,4,0,0,0,0,0,0,1,4,0,2,2,17,0,2,4.1,3.1
Malik Turner,187,,SEA,WR,22,6,0,0,0,0,0,0,0,0,0,3,2,20,0,2,4.0,3.0
Brandon Wilds,141,,JAX,RB,25,3,0,0,0,0,0,0,6,15,0,0,0,0,0,2,1.5,1.5
Nick Williams,190,,2TM,WR,28,4,0,0,0,0,0,0,0,0,0,5,2,17,0,2,3.7,2.7
Terrance Williams,189,,DAL,WR,29,3,2,0,0,0,0,0,0,0,0,3,2,18,0,2,3.8,2.8
Brandon Zylstra,183,,MIN,WR,25,16,0,0,0,0,0,0,0,0,0,2,1,23,0,2,3.3,2.8
Ameer Abdullah,146,,2TM,RB,25,10,0,0,0,0,0,0,1,1,0,4,3,28,0,1,4.9,2.4
Victor Bolden,196,,2TM,WR,23,6,0,0,0,0,0,0,0,0,0,4,1,10,0,1,2.0,1.5
Michael Burton,151,,CHI,RB,26,8,1,0,0,0,0,0,0,0,0,1,1,6,0,1,1.6,1.1
Damiere Byrd,200,,CAR,WR,25,8,0,0,0,0,0,0,0,0,0,2,1,8,0,1,1.8,1.3
Jamaal Charles,142,,JAX,RB,32,2,0,0,0,0,0,0,6,7,0,3,2,7,0,1,3.4,2.4
Sammie Coates,194,,HOU,WR,25,12,0,0,0,0,0,0,0,0,0,2,1,12,0,1,2.2,1.7
Alan Cross,114,,TAM,TE,25,14,3,0,0,0,0,0,0,0,0,5,2,9,0,1,2.9,1.9
Joshua Dobbs,63,,PIT,QB,23,5,0,6,12,43,0,1,4,11,0,0,0,0,0,1,1.8,1.8
Ross Dwelley,111,,SFO,TE,23,11,0,0,0,0,0,0,0,0,0,2,2,14,0,1,3.4,2.4
Matt Flanagan,112,,WAS,TE,23,3,1,0,0,0,0,0,0,0,0,1,1,14,0,1,2.4,1.9
Robert Griffin,62,,BAL,QB,28,3,0,2,6,21,0,0,0,0,0,0,0,0,0,1,0.8,0.8
Justin Hardee,195,,NOR,WR,24,16,0,0,0,0,0,0,0,0,0,1,1,10,0,1,2.0,1.5
Keon Hatcher,199,,OAK,WR,24,3,0,0,0,0,0,0,0,0,0,2,1,8,0,1,1.8,1.3
Chad Henne,60,,KAN,QB,33,1,0,2,3,29,0,0,1,3,0,0,0,0,0,1,1.5,1.5
Robert Kelley,149,,WAS,RB,26,2,0,0,0,0,0,0,4,8,0,0,0,0,0,1,0.8,0.8
Marcus Kemp,203,,KAN,WR,23,16,0,0,0,0,0,0,0,0,0,2,1,7,0,1,1.7,1.2
Jeremy Kerley,201,,BUF,WR,30,1,1,0,0,0,0,0,0,0,0,4,2,7,0,1,2.7,1.7
Darvin Kidsy,198,,WAS,WR,23,2,0,0,0,0,0,0,0,0,0,2,1,8,0,1,1.8,1.3
Allen Lazard,202,,GNB,WR,23,1,0,0,0,0,0,0,0,0,0,1,1,7,0,1,1.7,1.2
Khari Lee,117,,BUF,TE,26,2,0,0,0,0,0,0,0,0,0,1,1,5,0,1,1.5,1.0
Josh Malone,193,,CIN,WR,22,9,0,0,0,0,0,0,0,0,0,5,1,12,0,1,2.2,1.7
J.D. McKissic,150,,SEA,RB,25,5,0,0,0,0,0,0,3,8,0,1,0,0,0,1,0.8,0.8
Jeremy McNichols,148,,2TM,RB,23,2,0,0,0,0,0,0,4,8,0,0,0,0,0,1,0.8,0.8
Christine Michael,147,,IND,RB,28,1,0,0,0,0,0,0,2,9,0,0,0,0,0,1,0.9,0.9
Johnny Mundt,118,,LAR,TE,24,10,0,0,0,0,0,0,0,0,0,1,1,5,0,1,1.5,1.0
Jamize Olawale,143,,DAL,RB,29,16,4,0,0,0,0,0,0,0,0,4,2,13,0,1,3.3,2.3
Ricky Ortiz,145,,ATL,RB,24,12,9,0,0,0,0,0,0,0,0,4,3,11,0,1,4.1,2.6
Cam Phillips,197,,BUF,WR,23,2,0,0,0,0,0,0,0,0,0,1,1,9,0,1,1.9,1.4
Richard Rodgers,116,,PHI,TE,26,7,0,0,0,0,0,0,0,0,0,1,1,7,0,1,1.7,1.2
Dion Sims,115,,CHI,TE,27,8,4,0,0,0,0,0,0,0,0,4,2,9,0,1,2.9,1.9
Hakeem Valles,113,,DET,TE,26,3,0,0,0,0,0,0,0,0,0,3,2,11,0,1,3.1,2.1
Justin Watson,204,,TAM,WR,23,12,0,0,0,0,0,0,0,0,0,3,1,5,0,1,1.5,1.0
Derek Watt,144,,LAC,RB,26,16,5,0,0,0,0,0,4,11,0,1,1,2,0,1,2.3,1.8
Joe Webb,61,,HOU,QB,32,16,0,0,0,0,0,0,0,0,0,3,2,13,0,1,3.3,2.3
Tim White,192,,BAL,WR,24,3,0,0,0,0,0,0,0,0,0,1,1,14,0,1,2.4,1.9
Saeed Blacknall,210,,OAK,,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Daniel Brown,119,,CHI,,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Deante Burton,211,,2TM,,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jehu Chesson,205,,WAS,WR,25,12,0,0,0,0,0,0,1,-4,0,2,1,7,0,,1.3,0.8
Lavon Coleman,162,,GNB,,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Stacy Coley,212,,2TM,,24,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Pharoh Cooper,213,,2TM,,23,7,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Jerome Cunningham,124,,DET,,27,3,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Darrell Daniels,132,,2TM,,24,11,3,0,0,0,0,0,0,0,0,2,0,0,0,,,
Geremy Davis,233,,LAC,,26,14,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Trevor Davis,218,,GNB,,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dalyn Dawkins,154,,TEN,,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Matthew Dayes,158,,SFO,,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Garrett Dickerson,125,,NYG,,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Quinton Dunbar,214,,WAS,,26,7,6,0,0,0,0,0,0,0,0,0,0,0,0,,,
Steven Dunbar,223,,SFO,,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Malachi Dupre,221,,ARI,,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Trey Edmunds,155,,PIT,,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Alex Ellis,128,,KAN,,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Donnie Ernsberger,133,,TAM,,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Isaiah Ford,234,,MIA,,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Daurice Fountain,237,,IND,,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mose Frazier,215,,CAR,,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rico Gafford,227,,OAK,,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
C.J. Goodwin,235,,DAL,,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Janarion Grant,209,,BAL,,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Garrett Griffin,134,,NOR,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Clark Harris,120,,CIN,,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Temarrick Hemingway,122,,DEN,,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
De'Angelo Henderson,165,,NYJ,RB,26,3,0,0,0,0,0,0,2,19,0,0,0,0,0,,0.9,-0.1
Quadree Henderson,228,,NYG,,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Hunter Henry,131,,LAC,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Darrius Heyward-Bey,206,,PIT,WR,31,14,2,0,0,0,0,0,1,-7,0,2,1,9,0,,1.2,0.7
Gabe Holmes,123,,ARI,,27,8,4,0,0,0,0,0,0,0,0,0,0,0,0,,,
Johnny Holton,236,,OAK,,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Buddy Howell,157,,HOU,,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Buddy Howell,161,,HOU,,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chad Kelly,69,,DEN,QB,24,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,,-0.1,-0.1
Ben Koyack,127,,JAX,,25,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chris Lacy,225,,DET,,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Lance Lenoir,219,,DAL,,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tony Lippett,216,,NYG,,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sean Mannion,67,,LAR,QB,26,3,0,2,3,23,0,0,7,-9,0,0,0,0,0,,,
Bradley Marquez,217,,DET,,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Freddie Martino,238,,TAM,,27,4,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
A.J. McCarron,65,,OAK,QB,28,2,0,1,3,8,0,0,3,-2,0,0,0,0,0,,0.1,0.1
Max McCaffrey,226,,SFO,,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Tanner McEvoy,229,,MIA,,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jaydon Mickens,230,,JAX,,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Steven Mitchell,207,,HOU,,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Dare Ogunbowale,163,,TAM,,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Senorise Perry,156,,MIA,,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Thomas Rawls,159,,CIN,,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Keenan Reynolds,164,,SEA,,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cooper Rush,68,,DAL,,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Alonzo Russell,208,,NYG,,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mark Sanchez,64,,WAS,QB,32,2,1,19,35,138,0,3,1,8,0,0,0,0,0,,3.3,3.3
Matt Schaub,66,,ATL,QB,37,3,0,5,7,20,0,0,1,0,0,1,1,-7,0,,1.1,0.6
Mason Schreck,129,,CIN,,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Boston Scott,160,,PHI,,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Da'Mari Scott,239,,BUF,,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cam Sims,220,,WAS,,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Matthew Slater,232,,NWE,,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Nate Solder,126,,NYG,,30,16,16,0,0,0,0,0,0,0,0,0,0,0,0,,,
Brandon Tate,231,,NOR,,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mike Thomas,222,,LAR,,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Danny Vitale,152,,GNB,RB,25,5,0,0,0,0,0,0,0,0,0,2,1,2,0,,1.2,0.7
Clive Walford,130,,NYJ,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mike Wallace,224,,PHI,,32,2,2,0,0,0,0,0,0,0,0,3,0,0,0,,,
Brandon Weeden,70,,HOU,QB,35,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,,-0.1,-0.1
Markus Wheaton,240,,PHI,,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cole Wick,121,,SFO,,25,5,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Jonathan Williams,153,,NOR,RB,24,3,0,0,0,0,0,0,3,0,0,1,1,1,0,,1.1,0.6
Deon Yelder,135,,KAN,,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jacoby Brissett,72,,IND,QB,26,4,0,2,4,2,0,0,7,-7,0,0,0,0,0,-1,-0.6,-0.6
Brian Hoyer,71,,NWE,QB,33,5,0,1,2,7,0,0,11,-8,0,0,0,0,0,-1,-0.5,-0.5
J'Mon Moore,241,,GNB,WR,23,12,0,0,0,0,0,0,0,0,0,3,2,15,0,-1,2.5,0.5
Geno Smith,73,,LAC,QB,28,5,0,1,4,8,0,0,8,2,0,0,0,0,0,-1,-0.5,-1.5
Rod Streater,242,,CLE,WR,30,3,0,0,0,0,0,0,1,-11,0,0,0,0,0,-1,-1.1,-1.1
Robert Turbin,166,,IND,RB,29,2,0,0,0,0,0,0,4,10,0,2,1,3,0,-1,1.3,-0.2
Kaelin Clay,244,,NYG,,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.0,-2.0
JJ Jones,243,,2TM,WR,26,4,0,0,0,0,0,0,1,0,0,1,1,3,0,-2,0.3,-1.2
Kyle Lauletta,74,,NYG,QB,23,2,0,0,5,0,0,1,1,-2,0,0,0,0,0,-2,-1.2,-1.2
Riley McCarron,246,,NWE,,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,-1.0,-2.0
Jojo Natson,245,,LAR,,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1.0,-2.0
