 ,PosRank,OvRank,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt
Josh Allen,21,,BUF,QB,22,12,11,169,320,2074,10,12,89,631,8,1,0,0,0,208,228.1,220.1
Jameis Winston,22,,TAM,QB,24,11,9,244,378,2992,19,14,49,281,1,0,0,0,0,196,218.8,209.8
Carson Wentz,23,,PHI,QB,26,11,11,279,401,3074,21,7,34,93,0,1,1,4,0,193,209.7,200.2
Andy Dalton,25,,CIN,QB,31,11,11,226,365,2566,21,11,16,99,0,0,0,0,0,175,188.5,185.5
Marcus Mariota,24,,TEN,QB,25,14,13,228,331,2528,11,8,64,357,2,1,1,21,0,175,191.9,183.4
Blake Bortles,26,,JAX,QB,26,13,12,243,403,2718,13,11,58,365,1,0,0,0,0,173,194.2,184.2
Sam Darnold,27,,NYJ,QB,21,13,13,239,414,2865,17,15,44,138,1,0,0,0,0,168,191.4,183.4
Ryan Fitzpatrick,28,,TAM,QB,36,8,7,164,246,2366,17,12,36,152,2,0,0,0,0,166,184.8,177.8
Lamar Jackson,29,,BAL,QB,21,16,7,99,170,1201,6,3,147,695,5,2,0,0,0,158,170.5,160.5
Ryan Tannehill,30,,MIA,QB,30,11,11,176,274,1979,17,9,32,145,0,1,1,3,1,142,162.0,151.5
Alex Smith,31,,WAS,QB,34,10,10,205,328,2180,10,5,41,168,1,0,0,0,0,138,150.0,143.0
Joe Flacco,32,,BAL,QB,33,9,9,232,379,2465,12,6,19,45,0,0,0,0,0,137,147.1,143.1
Sony Michel,25,,NWE,RB,23,13,8,0,0,0,0,0,209,931,6,11,7,50,0,132,143.1,135.6
Peyton Barber,26,,TAM,RB,24,16,16,0,0,0,0,0,234,871,5,29,20,92,1,130,154.3,140.3
Austin Ekeler,27,,LAC,RB,23,14,3,0,0,0,0,0,106,554,3,53,39,404,3,130,175.8,149.3
Nick Mullens,33,,SFO,QB,23,8,8,176,274,2277,13,10,18,-16,0,0,0,0,0,123,136.5,133.5
Mark Ingram,28,,NOR,RB,29,12,6,0,0,0,0,0,138,645,6,27,21,170,1,122,149.5,132.0
Isaiah Crowell,29,,NYJ,RB,25,13,6,0,0,0,0,0,143,685,6,28,21,152,0,120,146.7,130.2
T.J. Yeldon,30,,JAX,RB,25,14,5,0,0,0,0,0,104,414,1,78,55,487,4,118,180.1,145.6
Dede Westbrook,31,,JAX,WR,25,16,9,0,1,0,0,0,9,98,0,101,66,717,5,114,184.5,146.5
Adam Humphries,32,,TAM,WR,25,16,10,0,0,0,0,0,2,11,0,105,76,816,5,113,191.7,150.7
Josh Rosen,34,,ARI,QB,21,14,13,217,393,2278,11,14,23,138,0,0,0,0,0,113,137.9,126.9
Dalvin Cook,31,,MIN,RB,23,11,10,0,0,0,0,0,133,615,2,49,40,305,2,112,160.0,132.0
DeSean Jackson,33,,TAM,WR,32,12,10,0,0,0,0,0,6,29,1,74,41,774,4,110,154.3,130.8
Latavius Murray,32,,MIN,RB,28,16,6,0,0,0,0,0,140,578,6,26,22,141,0,110,137.9,120.9
Zay Jones,34,,BUF,WR,23,16,15,0,1,0,0,0,1,0,0,102,56,652,7,109,168.2,137.2
Golden Tate,35,,2TM,WR,30,15,8,0,0,0,0,0,4,34,0,113,74,795,4,109,185.9,145.9
Kerryon Johnson,33,,DET,RB,21,10,7,0,0,0,0,0,118,641,3,39,32,213,1,107,146.4,123.4
Robby Anderson,36,,NYJ,WR,25,14,9,0,0,0,0,0,2,-8,0,94,50,752,6,106,161.4,131.4
Mike Davis,34,,SEA,RB,25,15,2,0,0,0,0,0,112,514,4,42,34,214,1,103,142.8,119.8
A.J. Green,37,,CIN,WR,30,9,9,0,0,0,0,0,0,0,0,77,46,694,6,103,153.4,126.4
John Brown,39,,BAL,WR,28,16,15,0,0,0,0,0,3,4,0,97,42,715,5,102,146.9,122.9
Dion Lewis,36,,TEN,RB,28,16,7,0,0,0,0,0,155,517,1,67,59,400,1,102,167.7,131.2
Doug Martin,35,,OAK,RB,29,16,9,0,0,0,0,0,172,723,4,24,18,116,0,102,128.9,110.9
D.J. Moore,38,,CAR,WR,21,16,10,0,0,0,0,0,13,172,0,82,55,788,2,102,166.0,129.5
Nelson Agholor,40,,PHI,WR,25,16,16,1,1,15,0,0,3,32,0,97,64,736,4,101,168.4,133.4
Leonard Fournette,37,,JAX,RB,23,8,8,0,0,0,0,0,133,439,5,26,22,185,1,98,126.4,109.4
Josh Gordon,44,,2TM,WR,27,12,12,0,0,0,0,0,0,0,0,71,41,737,4,98,141.7,118.2
Nyheim Hines,38,,IND,RB,22,16,4,0,0,0,0,0,85,314,2,81,63,425,2,98,166.9,129.4
Allen Robinson,41,,CHI,WR,25,13,12,0,0,0,0,0,1,9,0,94,55,754,4,98,157.3,125.8
Curtis Samuel,42,,CAR,WR,22,13,8,0,0,0,0,0,8,84,2,65,39,494,5,98,140.8,117.3
Demaryius Thomas,43,,2TM,WR,31,15,15,0,0,0,0,0,0,0,0,89,59,677,5,98,159.7,127.2
Kenny Stills,45,,MIA,WR,26,15,15,1,1,3,1,0,0,0,0,64,37,553,6,97,137.4,115.9
Tyrell Williams,46,,LAC,WR,26,16,10,0,0,0,0,0,2,15,0,65,41,653,5,97,140.8,117.3
